D001,2024-12-10 01:01,48.000000,Other
REF_02,2024-02-01 16:00,91.800000,Refrigeration
REF_02,2024-02-01 12:00,178.900000,Refrigeration
REF_02,2024-02-01 08:00,92.500000,Refrigeration
HVAC_02,2024-02-01 16:00,88.700000,HVAC
HVAC_02,2024-02-01 12:00,44.200000,HVAC
HVAC_02,2024-02-01 08:00,41.500000,HVAC
HVAC_01,2024-02-01 20:00,35.600000,HVAC
HVAC_01,2024-02-01 16:00,45.300000,HVAC
HVAC_01,2024-02-01 12:00,42.100000,HVAC
HVAC_01,2024-02-01 08:00,38.200000,HVAC
REF_01,2024-02-01 20:00,117.200000,Refrigeration
REF_01,2024-02-01 16:00,114.500000,Refrigeration
REF_01,2024-02-01 12:00,116.800000,Refrigeration
REF_01,2024-02-01 08:00,115.200000,Refrigeration
LIGHT_01,2024-02-01 20:00,22.500000,Lighting
LIGHT_01,2024-02-01 16:00,23.100000,Lighting
LIGHT_01,2024-02-01 12:00,21.800000,Lighting
LIGHT_01,2024-02-01 08:00,22.300000,Lighting
LIGHT_02,2024-02-01 16:00,42.500000,Lighting 
LIGHT_02,2024-02-01 12:00,20.200000,Lighting
LIGHT_02,2024-02-01 08:00,19.800000,Lighting
